2013/10/18 11:17:52 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 11:17:52 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 11:17:52 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 11:17:52 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 11:17:52 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 11:17:52 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 11:17:52 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 11:17:52 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/10/18 11:17:52 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 11:17:52 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 11:17:52 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 11:17:52 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 11:19:02 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 11:19:02 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 11:19:02 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 11:19:02 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 11:19:02 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 11:19:02 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 11:19:02 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 11:19:02 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/10/18 11:19:02 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 11:19:04 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 11:19:04 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 11:19:04 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 11:19:24 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 11:19:24 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 11:19:24 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 11:19:24 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 11:19:24 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 11:19:24 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 11:19:24 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 11:19:24 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/10/18 11:19:24 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 11:19:24 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 11:19:24 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 11:19:24 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 11:37:18 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 11:37:18 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 11:37:19 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 11:37:19 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 11:37:19 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 11:37:19 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 11:37:19 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 11:37:19 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/10/18 11:37:19 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 11:37:19 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 11:37:19 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 11:37:19 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 12:01:38 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 12:01:38 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2013/10/18 12:01:38 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Nature Journal Thread 
2013/10/18 12:01:38 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Nature Journal Thread. 
2013/10/18 12:01:38 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2013/10/18 12:01:38 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2013/10/18 12:01:38 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2013/10/18 12:01:38 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2013/10/18 12:01:38 INFO  - jmeter.threads.JMeterThread: Thread started: Nature Journal Thread 1-1 
2013/10/18 12:01:38 INFO  - jmeter.threads.JMeterThread: Thread finished: Nature Journal Thread 1-1 
2013/10/18 12:01:38 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2013/10/18 12:01:38 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2013/10/18 12:02:51 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/10/18 12:02:51 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
